user_id,total_reviews,,user_id_scrapped
2636606,4311,,2636606
3023796,4161,,3023796
3081722,3751,,3081722
454255,3452,,454255
1769011,2520,,1769011
1922425,2508,,1922425
1384232,2384,,1384232
955320,2303,,955320
2700654,2209,,2700654
1132408,2097,,1132408
7884584,2028,,7884584
1171131,1977,,1171131
4197769,1959,,4197769
2337007,1925,,2337007
133661,1876,,133661
6586731,1876,,6586731
439937,1829,,439937
1060439,1827,,1060439
1628041,1819,,1628041
3651677,1689,,3651677
1223283,1629,,4016030
1922494,1588,,1212466
4016030,1566,,2828794
1212466,1564,,3154123
2828794,1556,,1907089
3154123,1552,,1257138
1907089,1536,,3451098
1257138,1524,,5130755
3451098,1483,,9099185
6012758,1482,,6646452
5130755,1460,,283014
9099185,1441,,76042
6646452,1428,,546484
283014,1411,,8218861
1710857,1383,,1292669
76042,1374,,4342143
546484,1363,,5870323
8218861,1362,,8655084
1292669,1351,,304219
4342143,1349,,7718772
5870323,1295,,62411
8655084,1293,,813598
304219,1289,,1297492
7718772,1276,,155288
62411,1273,,1368249
813598,1272,,5705696
1297492,1271,,1050198
155288,1261,,4247172
1368249,1256,,2597121
5705696,1248,,1970552
1050198,1230,,92508
4247172,1227,,4379514
2597121,1207,,3181581
1970552,1202,,4685969
92508,1198,,3440231
4379514,1194,,3022242
3181581,1194,,1472968
4685969,1185,,7299377
937119,1165,,7259540
583557,1155,,2873133
6753819,1139,,4847123
2731485,1133,,612003
3003434,1126,,2096523
5907530,1106,,2652919
5911504,1100,,8356980
1663741,1089,,3206829
2752027,1083,,1996907
86145,1081,,558699
4983837,1048,,3702915
4120311,1047,,1000163
5950050,1040,,275437
15411,1036,,1947815
1280369,1035,,3929792
2684419,1033,,7857360
5571278,1033,,7878381
4612721,1033,,92056
3795348,1026,,7996358
962385,1025,,7265326
7584700,1013,,5101495
634200,1011,,2183662
4209094,1011,,501971
44398,1007,,559167
3878043,1004,,5430413
2437452,998,,9082155
7345397,996,,2459469
241540,996,,7118542
7168645,991,,1634411
7057054,989,,241183
4676971,989,,1574263
6606746,988,,6078800
5724567,961,,1854110
7668522,959,,3047454
7582369,952,,958187
4003368,938,,2095009
2781259,937,,641241
316327,935,,3781253
892128,935,,4831548
4698736,927,,210650
4751806,926,,636441
3293453,922,,1324789
4556168,922,,1361697
2200252,917,,2683868
857084,914,,313037
4724203,913,,3488439
1764476,913,,7404546
2333268,908,,1429111
3666031,905,,1948178
6907245,903,,5280845
3590983,902,,5278073
6923777,876,,233482
3230909,874,,2564751
2970379,870,,89170
2456548,868,,3706540
1127910,866,,6841613
4223760,866,,5478121
4850999,865,,5025458
3967198,865,,7761635
1285133,863,,994325
2443798,859,,7325556
254596,859,,1591510
7583484,854,,4296702
6265983,850,,1273118
8109706,846,,391023
5255435,841,,3359801
3036829,834,,8219064
541416,826,,112265
3209559,824,,1952119
1598886,822,,3097045
21659,822,,178320
5684340,817,,133202
4217077,812,,5398292
363070,809,,27435
7857026,808,,273413
7779073,799,,4164688
4188695,798,,2224950
3147219,797,,5871631
956313,792,,5364137
4726159,792,,4584043
