25453418,      Three Men in a Boat,Jerome K. Jerome,3.88,1766, classics, 1321, fiction, 970, humor, 214, comedy, 211, travel, 192, british-literature
627830,      Three Men in a Boat: To Say Nothing of the Dog,Jerome K. Jerome,3.88,1766, classics, 1321, fiction, 970, humor, 214, comedy, 211, travel, 192, british-literature
2475251,      The Cellist of Sarajevo,Steven Galloway,3.99,754, fiction, 714, historical-fiction, 248, war, 105, canada, 102, historical, 99, music
13641539,      The End of the Affair,Colin Firth,3.91,1651, fiction, 1059, classics, 325, romance, 281, audiobook, 182, literature, 149, british-literature
2071039,      The End of the Affair,Graham Greene,3.91,1651, fiction, 1059, classics, 325, romance, 281, audiobook, 182, literature, 149, british-literature
461054,      The Black Echo,Michael Connelly,4.09,1621, mystery, 944, fiction, 844, crime, 580, thriller, 272, mystery-thriller, 229, detective
29368058,      The Bookshop on the Corner,Jenny Colgan,3.85,1268, fiction, 870, romance, 558, chick-lit, 497, books-about-books, 364, contemporary, 238, audiobook
13543766,      The Black Echo,Dick Hill,4.09,1621, mystery, 944, fiction, 844, crime, 580, thriller, 272, mystery-thriller, 229, detective
18296411,      Frog Music,Emma Donoghue,3.17,920, historical-fiction, 548, fiction, 277, mystery, 190, historical, 95, audiobook, 69, crime
8130678,      The Black Echo,Michael Connelly,4.09,1621, mystery, 944, fiction, 844, crime, 580, thriller, 272, mystery-thriller, 229, detective
1604316,      The Black Echo,Michael Connelly,4.09,1621, mystery, 944, fiction, 844, crime, 580, thriller, 272, mystery-thriller, 229, detective
16229721,      The Black Echo,Dick Hill,4.09,1621, mystery, 944, fiction, 844, crime, 580, thriller, 272, mystery-thriller, 229, detective
21560400,      Alienated,Madeleine Lambert,3.91,809, young-adult, 636, science-fiction, 520, romance, 494, aliens, 279, fantasy, 145, paranormal
21063902,      Frog Music,Emma Donoghue,3.17,920, historical-fiction, 548, fiction, 277, mystery, 190, historical, 95, audiobook, 69, crime
394731,      The End of the Affair,Michael Gorra,3.91,1651, fiction, 1059, classics, 325, romance, 281, audiobook, 182, literature, 149, british-literature
1287447,      The End of the Affair,Graham Greene,3.91,1651, fiction, 1059, classics, 325, romance, 281, audiobook, 182, literature, 149, british-literature
18427267,      Frog Music,Emma Donoghue,3.17,920, historical-fiction, 548, fiction, 277, mystery, 190, historical, 95, audiobook, 69, crime
18973958,      Alienated,Melissa Landers,3.91,809, young-adult, 636, science-fiction, 520, romance, 494, aliens, 279, fantasy, 145, paranormal
22041487,      Frog Music,Khristine Hvam,3.17,920, historical-fiction, 548, fiction, 277, mystery, 190, historical, 95, audiobook, 69, crime
18730822,      Frog Music,Emma Donoghue,3.17,920, historical-fiction, 548, fiction, 277, mystery, 190, historical, 95, audiobook, 69, crime
20670365,      Frog Music,Khristine Hvam,3.17,920, historical-fiction, 548, fiction, 277, mystery, 190, historical, 95, audiobook, 69, crime
461054,      The Black Echo,Michael Connelly,4.09,1621, mystery, 944, fiction, 844, crime, 580, thriller, 272, mystery-thriller, 229, detective
13574417,      Alienated,Melissa Landers,3.91,809, young-adult, 636, science-fiction, 520, romance, 494, aliens, 279, fantasy, 145, paranormal
6261961,      Labor Day,Joyce Maynard,3.58,478, fiction, 173, romance, 86, contemporary, 67, coming-of-age, 52, adult-fiction, 42, adult
27258100,      The Little Shop of Happy Ever After,Jenny Colgan,3.85,1268, fiction, 870, romance, 558, chick-lit, 497, books-about-books, 364, contemporary, 238, audiobook
18295858,      Frog Music,Emma Donoghue,3.17,920, historical-fiction, 548, fiction, 277, mystery, 190, historical, 95, audiobook, 69, crime
20427860,      Frog Music,Emma Donoghue,3.17,920, historical-fiction, 548, fiction, 277, mystery, 190, historical, 95, audiobook, 69, crime
29641,      The End of the Affair,Monica Ali,3.91,1651, fiction, 1059, classics, 325, romance, 281, audiobook, 182, literature, 149, british-literature
18668627,      Frog Music,Emma Donoghue,3.17,920, historical-fiction, 548, fiction, 277, mystery, 190, historical, 95, audiobook, 69, crime
29364480,      The Bookshop on the Corner,Jenny Colgan,3.85,1268, fiction, 870, romance, 558, chick-lit, 497, books-about-books, 364, contemporary, 238, audiobook
18490570,      Girl of Nightmares,Kendare Blake,3.85,1129, young-adult, 957, horror, 734, paranormal, 527, fantasy, 465, ghosts, 326, romance
6647303,      Labor Day,Joyce Maynard,3.58,478, fiction, 173, romance, 86, contemporary, 67, coming-of-age, 52, adult-fiction, 42, adult
13620725,      Labor Day,Wilson Bethel,3.58,478, fiction, 173, romance, 86, contemporary, 67, coming-of-age, 52, adult-fiction, 42, adult
18118014,      Labor Day,Joyce Maynard,3.58,478, fiction, 173, romance, 86, contemporary, 67, coming-of-age, 52, adult-fiction, 42, adult
18118014,      Labor Day,Joyce Maynard,3.58,478, fiction, 173, romance, 86, contemporary, 67, coming-of-age, 52, adult-fiction, 42, adult
21536,      The Black Echo,Dick Hill,4.09,1621, mystery, 944, fiction, 844, crime, 580, thriller, 272, mystery-thriller, 229, detective
29088101,      Anna desde el infierno,Kendare Blake,3.85,1129, young-adult, 957, horror, 734, paranormal, 527, fantasy, 465, ghosts, 326, romance
