Source,Target,Weight,Type
7107665,young-adult,30827,undirected
7107665,fiction,17317,undirected
7107665,dystopia,16063,undirected
7107665,fantasy,13545,undirected
7107665,science-fiction,10576,undirected
7107665,romance,3921,undirected
14802335,young-adult,21018,undirected
14802335,romance,10804,undirected
14802335,fiction,10742,undirected
14802335,contemporary,7170,undirected
14802335,realistic-fiction,2413,undirected
14802335,teen,1256,undirected
15704161,fiction,12101,undirected
15704161,mystery,10158,undirected
15704161,thriller,7138,undirected
15704161,crime,2751,undirected
15704161,mystery-thriller,2296,undirected
15704161,suspense,2252,undirected
12168042,young-adult,20728,undirected
12168042,dystopia,13902,undirected
12168042,fiction,7056,undirected
12168042,fantasy,6557,undirected
12168042,science-fiction,5873,undirected
12168042,romance,4050,undirected
8113493,young-adult,24667,undirected
8113493,dystopia,13339,undirected
8113493,fiction,12566,undirected
8113493,fantasy,9817,undirected
8113493,science-fiction,7798,undirected
8113493,romance,2921,undirected
24612163,fiction,10095,undirected
24612163,mystery,9443,undirected
24612163,thriller,7291,undirected
24612163,crime,2407,undirected
24612163,mystery-thriller,2178,undirected
24612163,suspense,2026,undirected
5945479,young-adult,19609,undirected
5945479,fantasy,18442,undirected
5945479,romance,11556,undirected
5945479,vampires,7909,undirected
5945479,fiction,7830,undirected
5945479,paranormal,5964,undirected
10783858,historical-fiction,19279,undirected
10783858,fiction,13034,undirected
10783858,young-adult,10424,undirected
10783858,historical,4289,undirected
10783858,classics,2373,undirected
10783858,war,2044,undirected
10297811,young-adult,26169,undirected
10297811,dystopia,13904,undirected
10297811,fiction,13377,undirected
10297811,fantasy,10620,undirected
10297811,science-fiction,8322,undirected
10297811,romance,3242,undirected
7067799,fiction,12346,undirected
7067799,historical-fiction,10944,undirected
7067799,historical,2177,undirected
7067799,adult,1334,undirected
7067799,adult-fiction,1206,undirected
7067799,contemporary,937,undirected
13690325,romance,8964,undirected
13690325,fiction,3826,undirected
13690325,erotica,3114,undirected
13690325,adult,1782,undirected
13690325,bdsm,1731,undirected
13690325,contemporary,1431,undirected
87784,classics,44719,undirected
87784,fiction,22639,undirected
87784,historical-fiction,6818,undirected
87784,school,3858,undirected
87784,literature,2990,undirected
87784,young-adult,2878,undirected
22022744,romance,7534,undirected
22022744,fiction,5969,undirected
22022744,contemporary,3370,undirected
22022744,chick-lit,2014,undirected
22022744,adult,1321,undirected
22022744,adult-fiction,826,undirected
6578785,fiction,13220,undirected
6578785,mystery,10772,undirected
6578785,thriller,6349,undirected
6578785,crime,4033,undirected
6578785,mystery-thriller,1841,undirected
6578785,suspense,1647,undirected
28542722,young-adult,10966,undirected
28542722,dystopia,8035,undirected
28542722,fiction,3596,undirected
28542722,science-fiction,2955,undirected
28542722,fantasy,2847,undirected
28542722,romance,2103,undirected
22820681,science-fiction,12360,undirected
22820681,fiction,8770,undirected
22820681,audiobook,1461,undirected
22820681,adventure,1259,undirected
22820681,space,1028,undirected
22820681,adult,1005,undirected
413081,fiction,15600,undirected
413081,historical-fiction,5767,undirected
413081,contemporary,1901,undirected
413081,classics,1613,undirected
413081,novels,1263,undirected
413081,historical,955,undirected
1812673,fiction,14844,undirected
1812673,classics,6470,undirected
1812673,fantasy,3540,undirected
1812673,philosophy,2921,undirected
1812673,novels,1610,undirected
1812673,spirituality,1359,undirected
25231392,science-fiction,10950,undirected
25231392,fiction,8061,undirected
25231392,young-adult,4020,undirected
25231392,fantasy,3398,undirected
25231392,dystopia,3343,undirected
25231392,adventure,1168,undirected
15742581,young-adult,14312,undirected
15742581,dystopia,10393,undirected
15742581,fiction,4504,undirected
15742581,fantasy,3981,undirected
15742581,science-fiction,3763,undirected
15742581,romance,2668,undirected
7072268,fiction,9874,undirected
7072268,historical-fiction,5846,undirected
7072268,romance,2971,undirected
7072268,historical,1231,undirected
7072268,adult,946,undirected
7072268,adult-fiction,803,undirected
25292854,historical-fiction,14447,undirected
25292854,fiction,10112,undirected
25292854,historical,2548,undirected
25292854,war,1629,undirected
25292854,world-war-ii,1548,undirected
25292854,audiobook,1035,undirected
15706076,fantasy,17802,undirected
15706076,fiction,7396,undirected
15706076,romance,3905,undirected
15706076,historical-fiction,2619,undirected
15706076,magic,1848,undirected
15706076,young-adult,1677,undirected
6467686,young-adult,11249,undirected
6467686,fiction,9416,undirected
6467686,classics,7862,undirected
6467686,dystopia,6841,undirected
6467686,science-fiction,5029,undirected
6467686,fantasy,3902,undirected
31314242,fantasy,15104,undirected
31314242,fiction,4437,undirected
31314242,young-adult,3855,undirected
31314242,plays,3086,undirected
31314242,magic,1315,undirected
31314242,adventure,676,undirected
17617613,young-adult,11894,undirected
17617613,romance,7281,undirected
17617613,contemporary,4517,undirected
17617613,fiction,4065,undirected
17617613,realistic-fiction,1267,undirected
17617613,audiobook,917,undirected
7669915,classics,44354,undirected
7669915,fiction,20498,undirected
7669915,school,3465,undirected
7669915,historical-fiction,3249,undirected
7669915,literature,3244,undirected
7669915,romance,2703,undirected
18206985,fantasy,18878,undirected
18206985,young-adult,13863,undirected
