Source,Target,Weight,Type
young-adult,fiction,1485268,Undirected
young-adult,dystopia,598266,Undirected
young-adult,fantasy,1939214,Undirected
young-adult,science-fiction,547778,Undirected
young-adult,romance,1388404,Undirected
young-adult,contemporary,456353,Undirected
young-adult,realistic-fiction,248855,Undirected
young-adult,teen,61044,Undirected
young-adult,vampires,215701,Undirected
young-adult,paranormal,469399,Undirected
young-adult,historical-fiction,158553,Undirected
young-adult,historical,53831,Undirected
young-adult,classics,313676,Undirected
young-adult,war,26544,Undirected
young-adult,school,31538,Undirected
young-adult,literature,25173,Undirected
young-adult,adventure,93110,Undirected
young-adult,magic,167424,Undirected
young-adult,plays,6941,Undirected
young-adult,audiobook,78554,Undirected
young-adult,urban-fantasy,139838,Undirected
young-adult,coming-of-age,37422,Undirected
young-adult,novels,10543,Undirected
young-adult,mystery,77268,Undirected
young-adult,mental-health,36351,Undirected
young-adult,retellings,71198,Undirected
young-adult,new-adult,100086,Undirected
young-adult,science-fiction-fantasy,17940,Undirected
young-adult,horror,20454,Undirected
young-adult,magical-realism,2760,Undirected
young-adult,crime,2971,Undirected
young-adult,young-adult-fantasy,116066,Undirected
young-adult,chick-lit,64992,Undirected
young-adult,drama,1347,Undirected
young-adult,adult,11065,Undirected
young-adult,aliens,33165,Undirected
young-adult,adult-fiction,1835,Undirected
young-adult,contemporary-romance,30312,Undirected
young-adult,college,7582,Undirected
young-adult,steampunk,34026,Undirected
young-adult,fae,11947,Undirected
young-adult,angels,62630,Undirected
young-adult,read-for-school,8035,Undirected
young-adult,paranormal-romance,27056,Undirected
young-adult,werewolves,15612,Undirected
young-adult,holocaust,3370,Undirected
young-adult,music,4554,Undirected
young-adult,dragons,23044,Undirected
young-adult,lgbt,57649,Undirected
young-adult,humor,9396,Undirected
young-adult,world-war-ii,10841,Undirected
young-adult,race,9881,Undirected
young-adult,fairy-tales,17323,Undirected
young-adult,queer,7292,Undirected
young-adult,psychology,1455,Undirected
young-adult,young-adult-contemporary,11238,Undirected
young-adult,high-school,11062,Undirected
young-adult,mythology,12977,Undirected
young-adult,fairies,8431,Undirected
young-adult,thriller,4176,Undirected
young-adult,mystery-thriller,684,Undirected
young-adult,short-stories,15043,Undirected
young-adult,ghosts,3933,Undirected
young-adult,mental-illness,6676,Undirected
young-adult,post-apocalyptic,7330,Undirected
young-adult,survival,2905,Undirected
