Id,Label
young-adult,young-adult
fiction,fiction
dystopia,dystopia
fantasy,fantasy
science-fiction,science-fiction
romance,romance
contemporary,contemporary
realistic-fiction,realistic-fiction
teen,teen
vampires,vampires
paranormal,paranormal
historical-fiction,historical-fiction
historical,historical
classics,classics
war,war
school,school
literature,literature
adventure,adventure
magic,magic
plays,plays
audiobook,audiobook
urban-fantasy,urban-fantasy
coming-of-age,coming-of-age
novels,novels
mystery,mystery
mental-health,mental-health
retellings,retellings
new-adult,new-adult
science-fiction-fantasy,science-fiction-fantasy
horror,horror
magical-realism,magical-realism
crime,crime
young-adult-fantasy,young-adult-fantasy
chick-lit,chick-lit
drama,drama
adult,adult
aliens,aliens
adult-fiction,adult-fiction
contemporary-romance,contemporary-romance
college,college
steampunk,steampunk
fae,fae
angels,angels
read-for-school,read-for-school
paranormal-romance,paranormal-romance
werewolves,werewolves
holocaust,holocaust
music,music
dragons,dragons
lgbt,lgbt
humor,humor
world-war-ii,world-war-ii
race,race
fairy-tales,fairy-tales
queer,queer
psychology,psychology
young-adult-contemporary,young-adult-contemporary
high-school,high-school
mythology,mythology
fairies,fairies
thriller,thriller
mystery-thriller,mystery-thriller
short-stories,short-stories
ghosts,ghosts
mental-illness,mental-illness
post-apocalyptic,post-apocalyptic
survival,survival
time-travel,time-travel
zombies,zombies
high-fantasy,high-fantasy
supernatural,supernatural
christmas,christmas
literary-fiction,literary-fiction
graphic-novels,graphic-novels
comics,comics
graphic-novels-comics,graphic-novels-comics
animals,animals
espionage,espionage
death,death
books-about-books,books-about-books
military-fiction,military-fiction
witches,witches
african-american,african-american
abuse,abuse
anthologies,anthologies
novella,novella
suspense,suspense
erotica,erotica
bdsm,bdsm
space,space
spirituality,spirituality
epic-fantasy,epic-fantasy
art,art
book-club,book-club
feminism,feminism
politics,politics
dogs,dogs
gothic,gothic
australia,australia
christian,christian
christian-fiction,christian-fiction
religion,religion
faith,faith
france,france
medieval,medieval
japan,japan
africa,africa
medicine,medicine
ethiopia,ethiopia
comedy,comedy
russia,russia
inspirational,inspirational
china,china
asia,asia
british-literature,british-literature
ireland,ireland
american,american
westerns,westerns
psychological-thriller,psychological-thriller
italy,italy
japanese-literature,japanese-literature
space-opera,space-opera
russian-literature,russian-literature
travel,travel
family,family
czech-literature,czech-literature
italian-literature,italian-literature
biography-memoir,biography-memoir
canada,canada
turkish-literature,turkish-literature
india,india
apocalyptic,apocalyptic
indian-literature,indian-literature
new-york,new-york
sports,sports
baseball,baseball
botswana,botswana
food,food
cyberpunk,cyberpunk
architecture,architecture
environment,environment
legal-thriller,legal-thriller
asian-literature,asian-literature
knitting,knitting
alternate-history,alternate-history
southern,southern
french-literature,french-literature
19th-century,19th-century
scotland,scotland
detective,detective
historical-romance,historical-romance
regency,regency
sudan,sudan
medical,medical
jewish,jewish
dark-fantasy,dark-fantasy
arthurian,arthurian
speculative-fiction,speculative-fiction
20th-century,20th-century
anthropology,anthropology
spanish-literature,spanish-literature
journalism,journalism
nigeria,nigeria
historical-mystery,historical-mystery
memoir,memoir
biography,biography
erotic-romance,erotic-romance
sociology,sociology
disability,disability
fighters,fighters
dark,dark
true-crime,true-crime
germany,germany
world-war-i,world-war-i
american-history,american-history
american-revolution,american-revolution
civil-war,civil-war
autobiography,autobiography
business,business
theology,theology
christianity,christianity
cats,cats
cooking,cooking
self-help,self-help
popular-science,popular-science
essays,essays
womens,womens
health,health
nutrition,nutrition
atheism,atheism
writing,writing
personal-development,personal-development
parenting,parenting
nature,nature
fitness,fitness
philosophy,philosophy
lds,lds
church,church
non-fiction,non-fiction
education,education
technology,technology
economics,economics
reference,reference
leadership,leadership
gardening,gardening
productivity,productivity
poverty,poverty
relationships,relationships
marriage,marriage
finance,finance
personal-finance,personal-finance
money,money
iran,iran
social-justice,social-justice
presidents,presidents
history,history
science,science
physics,physics
astronomy,astronomy
