shelf_1,shelf_2,co-occurences
fiction,romance,276
fiction,fantasy,272
fiction,contemporary,258
young-adult,fiction,233
young-adult,romance,227
young-adult,fantasy,205
fiction,historical-fiction,202
fantasy,romance,176
romance,contemporary,164
fiction,classics,154
fiction,audiobook,135
fiction,mystery,132
fiction,science-fiction,124
fiction,adult,119
historical-fiction,historical,112
fiction,historical,110
fantasy,paranormal,110
fantasy,science-fiction,109
contemporary,adult,102
young-adult,contemporary,95
fiction,literature,95
fiction,adult-fiction,88
fiction,thriller,87
romance,paranormal,86
contemporary,chick-lit,86
fiction,chick-lit,85
fiction,dystopia,83
young-adult,paranormal,81
dystopia,fantasy,81
dystopia,science-fiction,80
classics,literature,79
fiction,novels,77
non-fiction,memoir,76
romance,chick-lit,75
young-adult,science-fiction,74
mystery,thriller,74
young-adult,dystopia,73
contemporary,adult-fiction,69
non-fiction,biography,68
historical-fiction,classics,67
romance,adult,66
fiction,literary-fiction,63
fiction,mystery-thriller,62
mystery,mystery-thriller,62
memoir,biography,59
mystery,crime,57
fiction,crime,56
fiction,horror,56
fantasy,magic,56
romance,historical-fiction,55
thriller,mystery-thriller,54
adult,adult-fiction,52
fiction,paranormal,51
contemporary,audiobook,50
historical-fiction,literature,49
romance,contemporary-romance,48
contemporary,literary-fiction,48
contemporary,contemporary-romance,48
fiction,science-fiction-fantasy,47
fantasy,urban-fantasy,47
romance,new-adult,47
adult,chick-lit,47
fiction,magic,46
dystopia,romance,46
science-fiction,romance,46
fantasy,vampires,45
young-adult,realistic-fiction,44
fiction,realistic-fiction,44
fiction,book-club,44
thriller,crime,44
young-adult,magic,43
contemporary,realistic-fiction,43
literature,novels,43
audiobook,non-fiction,43
non-fiction,history,42
fiction,humor,41
contemporary,new-adult,41
fantasy,science-fiction-fantasy,40
crime,mystery-thriller,40
vampires,paranormal,40
paranormal,urban-fantasy,40
fiction,adventure,39
contemporary,novels,38
mystery,audiobook,38
romance,vampires,37
classics,novels,37
fiction,suspense,36
mystery,suspense,36
thriller,suspense,36
new-adult,contemporary-romance,36
fantasy,classics,35
romance,realistic-fiction,35
young-adult,new-adult,34
fantasy,audiobook,34
fantasy,horror,34
romance,historical,34
romance,urban-fantasy,34
contemporary,historical-fiction,34
historical-fiction,audiobook,34
fantasy,historical-fiction,33
mystery-thriller,suspense,32
audiobook,humor,31
non-fiction,humor,31
fantasy,high-fantasy,30
romance,adult-fiction,30
romance,magic,29
historical-fiction,book-club,29
young-adult,young-adult-fantasy,28
fantasy,young-adult-fantasy,28
contemporary,mystery,28
thriller,audiobook,28
thriller,horror,28
historical,audiobook,28
adult-fiction,chick-lit,28
fiction,high-fantasy,27
fantasy,adventure,27
romance,young-adult-fantasy,27
mystery,historical-fiction,27
historical-fiction,novels,27
historical-fiction,literary-fiction,27
adult,audiobook,27
science-fiction,classics,26
contemporary,humor,26
historical-fiction,adult-fiction,26
audiobook,memoir,26
memoir,humor,26
young-adult,historical-fiction,25
young-adult,urban-fantasy,25
young-adult,contemporary-romance,25
fiction,school,25
romance,classics,25
historical,classics,25
classics,school,25
young-adult,classics,24
fiction,war,24
romance,audiobook,24
mystery,horror,24
vampires,urban-fantasy,24
historical,book-club,24
audiobook,biography,24
humor,comedy,24
young-adult,vampires,23
fiction,vampires,23
historical-fiction,war,23
novels,literary-fiction,23
non-fiction,self-help,23
biography,history,23
fiction,epic-fantasy,22
fantasy,epic-fantasy,22
science-fiction,science-fiction-fantasy,22
adult-fiction,audiobook,22
non-fiction,psychology,22
young-adult,chick-lit,21
fiction,young-adult-fantasy,21
historical,war,21
adult-fiction,book-club,21
epic-fantasy,high-fantasy,21
fiction,new-adult,20
fiction,contemporary-romance,20
fantasy,contemporary,20
fantasy,mystery,20
crime,suspense,20
mystery-thriller,audiobook,20
young-adult,audiobook,19
young-adult,adventure,19
fiction,urban-fantasy,19
fiction,lgbt,19
fiction,short-stories,19
science-fiction,horror,19
historical-fiction,adult,19
non-fiction,science,19
fantasy,adult,18
science-fiction,audiobook,18
romance,mystery,18
romance,humor,18
contemporary,book-club,18
adult,contemporary-romance,18
audiobook,literary-fiction,18
psychology,self-help,18
young-adult,mystery,17
fiction,magical-realism,17
fiction,drama,17
mystery,classics,17
historical,adult-fiction,17
school,literature,17
non-fiction,comedy,17
biography,humor,17
contemporary,literature,16
mystery,historical,16
adult,humor,16
chick-lit,audiobook,16
non-fiction,business,16
memoir,history,16
fiction,coming-of-age,15
fiction,gothic,15
dystopia,classics,15
fantasy,thriller,15
fantasy,historical,15
fantasy,retellings,15
science-fiction,post-apocalyptic,15
romance,literature,15
crime,audiobook,15
historical-fiction,school,15
historical,world-war-ii,15
classics,science-fiction-fantasy,15
adult-fiction,literary-fiction,15
chick-lit,humor,15
memoir,comedy,15
science-fiction-fantasy,high-fantasy,15
young-adult,retellings,14
fiction,philosophy,14
fiction,post-apocalyptic,14
fantasy,paranormal-romance,14
romance,retellings,14
romance,paranormal-romance,14
paranormal,paranormal-romance,14
literature,literary-fiction,14
philosophy,non-fiction,14
young-adult,angels,13
young-adult,lgbt,13
fiction,time-travel,13
fantasy,angels,13
romance,angels,13
paranormal,magic,13
paranormal,angels,13
historical,adult,13
historical,literature,13
historical,literary-fiction,13
classics,adventure,13
classics,philosophy,13
classics,horror,13
adult,book-club,13
audiobook,comedy,13
epic-fantasy,science-fiction-fantasy,13
fiction,world-war-ii,12
fiction,british-literature,12
fiction,american,12
fantasy,time-travel,12
fantasy,magical-realism,12
science-fiction,paranormal,12
romance,erotica,12
contemporary,erotica,12
historical-fiction,world-war-ii,12
classics,gothic,12
adult,erotica,12
literature,american,12
chick-lit,contemporary-romance,12
audiobook,book-club,12
magic,young-adult-fantasy,12
non-fiction,autobiography,12
memoir,autobiography,12
biography,autobiography,12
business,self-help,12
young-adult,historical,11
fiction,russia,11
dystopia,paranormal,11
fantasy,mythology,11
contemporary,lgbt,11
mystery,paranormal,11
paranormal,horror,11
historical,non-fiction,11
classics,non-fiction,11
audiobook,science-fiction-fantasy,11
magic,high-fantasy,11
