source_shelf,target_shelf,num_pairings,%_of_source_shelves_with_this_pair
19th-century,fiction,5,1
19th-century,classics,5,1
19th-century,historical-fiction,4,0.8
19th-century,romance,3,0.6
19th-century,literature,3,0.6
19th-century,mystery,1,0.2
19th-century,historical,1,0.2
19th-century,novels,1,0.2
19th-century,horror,1,0.2
19th-century,gothic,1,0.2
20th-century,fiction,2,1
20th-century,classics,2,1
20th-century,literature,2,1
20th-century,novels,2,1
20th-century,american,2,1
abuse,contemporary,3,0.75
abuse,young-adult,2,0.5
abuse,romance,2,0.5
abuse,fiction,1,0.25
abuse,adult,1,0.25
abuse,adult-fiction,1,0.25
abuse,erotica,1,0.25
abuse,non-fiction,1,0.25
abuse,memoir,1,0.25
abuse,biography,1,0.25
abuse,autobiography,1,0.25
abuse,new-adult,1,0.25
abuse,contemporary-romance,1,0.25
abuse,psychology,1,0.25
abuse,african-american,1,0.25
abuse,dark,1,0.25
adult,fiction,119,0.894736842
adult,contemporary,102,0.766917293
adult,romance,66,0.496240602
adult,adult-fiction,52,0.390977444
adult,chick-lit,47,0.353383459
adult,audiobook,27,0.203007519
adult,historical-fiction,19,0.142857143
adult,fantasy,18,0.135338346
adult,contemporary-romance,18,0.135338346
adult,humor,16,0.120300752
adult,historical,13,0.097744361
adult,book-club,13,0.097744361
adult,erotica,12,0.090225564
adult,mystery,10,0.07518797
adult,epic-fantasy,9,0.067669173
adult,high-fantasy,9,0.067669173
adult,new-adult,9,0.067669173
adult,literary-fiction,8,0.060150376
adult,young-adult,7,0.052631579
adult,bdsm,7,0.052631579
adult,drama,7,0.052631579
adult,magic,6,0.045112782
adult,novels,5,0.037593985
adult,science-fiction-fantasy,5,0.037593985
adult,science-fiction,4,0.030075188
adult,books-about-books,4,0.030075188
adult,dystopia,3,0.022556391
adult,thriller,3,0.022556391
adult,erotic-romance,3,0.022556391
adult,british-literature,3,0.022556391
adult,mystery-thriller,2,0.015037594
adult,adventure,2,0.015037594
adult,mental-health,2,0.015037594
adult,animals,2,0.015037594
adult,psychology,2,0.015037594
adult,lgbt,2,0.015037594
adult,inspirational,2,0.015037594
adult,music,2,0.015037594
adult,dark,2,0.015037594
adult,crime,1,0.007518797
adult,paranormal,1,0.007518797
adult,classics,1,0.007518797
adult,literature,1,0.007518797
adult,space,1,0.007518797
adult,non-fiction,1,0.007518797
adult,memoir,1,0.007518797
adult,biography,1,0.007518797
adult,coming-of-age,1,0.007518797
adult,art,1,0.007518797
adult,biography-memoir,1,0.007518797
adult,retellings,1,0.007518797
adult,post-apocalyptic,1,0.007518797
adult,horror,1,0.007518797
adult,dogs,1,0.007518797
adult,gothic,1,0.007518797
adult,france,1,0.007518797
adult,medical,1,0.007518797
adult,westerns,1,0.007518797
adult,abuse,1,0.007518797
adult,family,1,0.007518797
adult,disability,1,0.007518797
adult,cats,1,0.007518797
adult-fiction,fiction,88,1
adult-fiction,contemporary,69,0.784090909
adult-fiction,adult,52,0.590909091
adult-fiction,romance,30,0.340909091
adult-fiction,chick-lit,28,0.318181818
adult-fiction,historical-fiction,26,0.295454545
adult-fiction,audiobook,22,0.25
adult-fiction,book-club,21,0.238636364
adult-fiction,historical,17,0.193181818
adult-fiction,literary-fiction,15,0.170454545
adult-fiction,drama,8,0.090909091
adult-fiction,novels,6,0.068181818
adult-fiction,mystery,4,0.045454545
adult-fiction,coming-of-age,4,0.045454545
adult-fiction,fantasy,3,0.034090909
adult-fiction,animals,3,0.034090909
adult-fiction,family,3,0.034090909
adult-fiction,young-adult,2,0.022727273
adult-fiction,classics,2,0.022727273
adult-fiction,mental-health,2,0.022727273
adult-fiction,magical-realism,2,0.022727273
adult-fiction,humor,2,0.022727273
adult-fiction,dogs,2,0.022727273
adult-fiction,books-about-books,2,0.022727273
adult-fiction,inspirational,2,0.022727273
adult-fiction,asia,2,0.022727273
adult-fiction,british-literature,2,0.022727273
adult-fiction,science-fiction,1,0.011363636
adult-fiction,science-fiction-fantasy,1,0.011363636
adult-fiction,retellings,1,0.011363636
adult-fiction,horror,1,0.011363636
adult-fiction,australia,1,0.011363636
adult-fiction,holocaust,1,0.011363636
adult-fiction,japan,1,0.011363636
adult-fiction,psychology,1,0.011363636
adult-fiction,africa,1,0.011363636
adult-fiction,lgbt,1,0.011363636
adult-fiction,medical,1,0.011363636
adult-fiction,china,1,0.011363636
adult-fiction,short-stories,1,0.011363636
adult-fiction,abuse,1,0.011363636
adult-fiction,italy,1,0.011363636
adult-fiction,food,1,0.011363636
adult-fiction,environment,1,0.011363636
adult-fiction,apocalyptic,1,0.011363636
adult-fiction,african-american,1,0.011363636
adult-fiction,mental-illness,1,0.011363636
adult-fiction,southern,1,0.011363636
adventure,fiction,39,0.866666667
adventure,fantasy,27,0.6
adventure,young-adult,19,0.422222222
adventure,classics,13,0.288888889
adventure,science-fiction,9,0.2
adventure,historical-fiction,7,0.155555556
adventure,magic,7,0.155555556
adventure,science-fiction-fantasy,7,0.155555556
adventure,high-fantasy,7,0.155555556
adventure,non-fiction,6,0.133333333
adventure,travel,6,0.133333333
adventure,literature,5,0.111111111
adventure,memoir,5,0.111111111
adventure,dystopia,4,0.088888889
adventure,contemporary,4,0.088888889
adventure,audiobook,4,0.088888889
adventure,novels,4,0.088888889
adventure,epic-fantasy,4,0.088888889
adventure,humor,4,0.088888889
adventure,romance,3,0.066666667
adventure,thriller,3,0.066666667
adventure,biography,3,0.066666667
adventure,horror,3,0.066666667
adventure,young-adult-fantasy,3,0.066666667
adventure,dragons,3,0.066666667
adventure,mystery,2,0.044444444
adventure,mystery-thriller,2,0.044444444
adventure,suspense,2,0.044444444
adventure,adult,2,0.044444444
adventure,nature,2,0.044444444
adventure,westerns,2,0.044444444
adventure,space,1,0.022222222
adventure,plays,1,0.022222222
adventure,history,1,0.022222222
adventure,animals,1,0.022222222
adventure,mythology,1,0.022222222
adventure,science,1,0.022222222
adventure,aliens,1,0.022222222
adventure,france,1,0.022222222
adventure,sports,1,0.022222222
adventure,health,1,0.022222222
adventure,fitness,1,0.022222222
adventure,india,1,0.022222222
adventure,dark-fantasy,1,0.022222222
adventure,spanish-literature,1,0.022222222
africa,fiction,10,0.833333333
africa,historical-fiction,8,0.666666667
africa,historical,4,0.333333333
africa,contemporary,3,0.25
africa,war,3,0.25
africa,literary-fiction,3,0.25
africa,book-club,3,0.25
africa,classics,2,0.166666667
africa,audiobook,2,0.166666667
africa,non-fiction,2,0.166666667
africa,memoir,2,0.166666667
africa,biography,2,0.166666667
africa,mystery,1,0.083333333
africa,crime,1,0.083333333
africa,mystery-thriller,1,0.083333333
africa,adult-fiction,1,0.083333333
africa,school,1,0.083333333
africa,literature,1,0.083333333
africa,history,1,0.083333333
africa,feminism,1,0.083333333
africa,politics,1,0.083333333
africa,religion,1,0.083333333
africa,medicine,1,0.083333333
africa,ethiopia,1,0.083333333
africa,race,1,0.083333333
africa,botswana,1,0.083333333
africa,sudan,1,0.083333333
africa,nigeria,1,0.083333333
african-american,fiction,3,1
african-american,historical-fiction,2,0.666666667
african-american,classics,2,0.666666667
african-american,literature,2,0.666666667
african-american,young-adult,1,0.333333333
african-american,contemporary,1,0.333333333
african-american,adult-fiction,1,0.333333333
african-american,school,1,0.333333333
african-american,magical-realism,1,0.333333333
african-american,abuse,1,0.333333333
aliens,young-adult,10,1
aliens,fantasy,10,1
aliens,science-fiction,10,1
aliens,romance,6,0.6
aliens,fiction,5,0.5
aliens,paranormal,5,0.5
aliens,dystopia,3,0.3
aliens,adventure,1,0.1
alternate-history,fiction,2,1
alternate-history,science-fiction,2,1
alternate-history,dystopia,1,0.5
alternate-history,mystery,1,0.5
alternate-history,crime,1,0.5
alternate-history,historical-fiction,1,0.5
alternate-history,classics,1,0.5
alternate-history,jewish,1,0.5
american,fiction,12,1
american,literature,12,1
american,classics,10,0.833333333
american,novels,9,0.75
american,historical-fiction,5,0.416666667
american,contemporary,2,0.166666667
