book_id,title,author,rating,genres,,,,,,,,,,,
15704161,      Gone Girl,Gillian Flynn,4.08,12098, fiction,10155, mystery,7125, thriller,2754, crime,2296, mystery-thriller,2251, suspense
18247775,      Lamore bugiardo,Isabella Zani,4.08,12098, fiction,10155, mystery,7125, thriller,2754, crime,2296, mystery-thriller,2251, suspense
23453787,      Gone Girl - Yang Hilang,Ariyantri Eddy Tarman,4.08,12098, fiction,10155, mystery,7125, thriller,2754, crime,2296, mystery-thriller,2251, suspense
15704186,      Gone Girl,Kirby Heyborne,4.08,12098, fiction,10155, mystery,7125, thriller,2754, crime,2296, mystery-thriller,2251, suspense
21480931,      Gone Girl,Gillian Flynn,4.08,12098, fiction,10155, mystery,7125, thriller,2754, crime,2296, mystery-thriller,2251, suspense
13147906,      Gone Girl,Kirby Heyborne,4.08,12098, fiction,10155, mystery,7125, thriller,2754, crime,2296, mystery-thriller,2251, suspense
23290223,      Gone Girl,Gillian Flynn,4.08,12098, fiction,10155, mystery,7125, thriller,2754, crime,2296, mystery-thriller,2251, suspense
18049021,      Verloren vrouw,Herman van der Ploeg,4.08,12098, fiction,10155, mystery,7125, thriller,2754, crime,2296, mystery-thriller,2251, suspense
17305435,      Em Parte Incerta,Fernanda Oliveira,4.08,12098, fiction,10155, mystery,7125, thriller,2754, crime,2296, mystery-thriller,2251, suspense
13643133,      Gone Girl,Gillian Flynn,4.08,12098, fiction,10155, mystery,7125, thriller,2754, crime,2296, mystery-thriller,2251, suspense
16960820,      Gone Girl,Gillian Flynn,4.08,12098, fiction,10155, mystery,7125, thriller,2754, crime,2296, mystery-thriller,2251, suspense
15704169,      Gone Girl,Gillian Flynn,4.08,12098, fiction,10155, mystery,7125, thriller,2754, crime,2296, mystery-thriller,2251, suspense
18456083,      Gone Girl,Kirby Heyborne,4.08,12098, fiction,10155, mystery,7125, thriller,2754, crime,2296, mystery-thriller,2251, suspense
13530788,      Gone Girl,Gillian Flynn,4.08,12098, fiction,10155, mystery,7125, thriller,2754, crime,2296, mystery-thriller,2251, suspense
13261812,      Gone Girl,Gillian Flynn,4.08,12098, fiction,10155, mystery,7125, thriller,2754, crime,2296, mystery-thriller,2251, suspense
15704174,      Gone Girl,Gillian Flynn,4.08,12098, fiction,10155, mystery,7125, thriller,2754, crime,2296, mystery-thriller,2251, suspense
11295686,      Gone Girl,Gillian Flynn,4.08,12098, fiction,10155, mystery,7125, thriller,2754, crime,2296, mystery-thriller,2251, suspense
12837725,      Gone Girl,Gillian Flynn,4.08,12098, fiction,10155, mystery,7125, thriller,2754, crime,2296, mystery-thriller,2251, suspense
8442457,      Gone Girl,Gillian Flynn,4.08,12098, fiction,10155, mystery,7125, thriller,2754, crime,2296, mystery-thriller,2251, suspense
19288043,      Gone Girl,Gillian Flynn,4.08,12098, fiction,10155, mystery,7125, thriller,2754, crime,2296, mystery-thriller,2251, suspense
21480930,      Gone Girl,Gillian Flynn,4.08,12098, fiction,10155, mystery,7125, thriller,2754, crime,2296, mystery-thriller,2251, suspense
24612163,      The Girl on the Train,Paula Hawkins,3.93,10084, fiction,9436, mystery,7279, thriller,2409, crime,2174, mystery-thriller,2025, suspense
22105022,      The Girl on the Train,Paula Hawkins,3.93,10084, fiction,9436, mystery,7279, thriller,2409, crime,2174, mystery-thriller,2025, suspense
30278752,      The Girl on the Train,Paula Hawkins,3.93,10084, fiction,9436, mystery,7279, thriller,2409, crime,2174, mystery-thriller,2025, suspense
25459160,      A Rapariga no Comboio,José João Leiria,3.93,10084, fiction,9436, mystery,7279, thriller,2409, crime,2174, mystery-thriller,2025, suspense
28960475,      A garota no trem,Paula Hawkins,3.93,10084, fiction,9436, mystery,7279, thriller,2409, crime,2174, mystery-thriller,2025, suspense
25467816,      Girl on the Train - Du kennst sie nicht  aber sie kennt dich,Christoph Göhler,3.93,10084, fiction,9436, mystery,7279, thriller,2409, crime,2174, mystery-thriller,2025, suspense
29762289,      The Girl on the Train,Paula Hawkins,3.93,10084, fiction,9436, mystery,7279, thriller,2409, crime,2174, mystery-thriller,2025, suspense
26085996,      The Girl on the Train,Paula Hawkins,3.93,10084, fiction,9436, mystery,7279, thriller,2409, crime,2174, mystery-thriller,2025, suspense
22105022,      The Girl on the Train,Paula Hawkins,3.93,10084, fiction,9436, mystery,7279, thriller,2409, crime,2174, mystery-thriller,2025, suspense
25153867,      Het meisje in de trein,Miebeth van Horn,3.93,10084, fiction,9436, mystery,7279, thriller,2409, crime,2174, mystery-thriller,2025, suspense
25270785,      La chica del tren,Aleix Montoto,3.93,10084, fiction,9436, mystery,7279, thriller,2409, crime,2174, mystery-thriller,2025, suspense
23664702,      The Girl on the Train,Paula Hawkins,3.93,10084, fiction,9436, mystery,7279, thriller,2409, crime,2174, mystery-thriller,2025, suspense
24501910,      The Girl on the Train,Paula Hawkins,3.93,10084, fiction,9436, mystery,7279, thriller,2409, crime,2174, mystery-thriller,2025, suspense
24317970,      The Girl on the Train,Paula Hawkins,3.93,10084, fiction,9436, mystery,7279, thriller,2409, crime,2174, mystery-thriller,2025, suspense
24629547,      The Girl on the Train,Louise Brealey,3.93,10084, fiction,9436, mystery,7279, thriller,2409, crime,2174, mystery-thriller,2025, suspense
28352416,      The Girl on the Train,Paula Hawkins,3.93,10084, fiction,9436, mystery,7279, thriller,2409, crime,2174, mystery-thriller,2025, suspense
22529254,      The Girl on the Train,India Fisher,3.93,10084, fiction,9436, mystery,7279, thriller,2409, crime,2174, mystery-thriller,2025, suspense
24965395,      The Girl on the Train,Louise Brealey,3.93,10084, fiction,9436, mystery,7279, thriller,2409, crime,2174, mystery-thriller,2025, suspense
22754100,      The Girl on the Train,Paula Hawkins,3.93,10084, fiction,9436, mystery,7279, thriller,2409, crime,2174, mystery-thriller,2025, suspense
30258297,      The Girl on the Train (Movie Tie-In),Paula Hawkins,3.93,10084, fiction,9436, mystery,7279, thriller,2409, crime,2174, mystery-thriller,2025, suspense
30268317,      The Girl on the Train,Paula Hawkins,3.93,10084, fiction,9436, mystery,7279, thriller,2409, crime,2174, mystery-thriller,2025, suspense
23364977,      The Girl on the Train,Paula Hawkins,3.93,10084, fiction,9436, mystery,7279, thriller,2409, crime,2174, mystery-thriller,2025, suspense
21840310,      The Girl on the Train,Paula Hawkins,3.93,10084, fiction,9436, mystery,7279, thriller,2409, crime,2174, mystery-thriller,2025, suspense
24298721,      The Girl on the Train,India Fisher,3.93,10084, fiction,9436, mystery,7279, thriller,2409, crime,2174, mystery-thriller,2025, suspense
22557272,      The Girl on the Train,Paula Hawkins,3.93,10084, fiction,9436, mystery,7279, thriller,2409, crime,2174, mystery-thriller,2025, suspense
23347055,      The Girl on the Train,Paula Hawkins,3.93,10084, fiction,9436, mystery,7279, thriller,2409, crime,2174, mystery-thriller,2025, suspense
7067799,      The Help,Kathryn Stockett,4.46,12328, fiction,10943, historical-fiction,2173, historical,1335, adult,1206, adult-fiction,937, contemporary
8139820,      The Help,Kathryn Stockett,4.46,12328, fiction,10943, historical-fiction,2173, historical,1335, adult,1206, adult-fiction,937, contemporary
6369525,      The Help,Kathryn Stockett,4.46,12328, fiction,10943, historical-fiction,2173, historical,1335, adult,1206, adult-fiction,937, contemporary
12433226,      The Help,Kathryn Stockett,4.46,12328, fiction,10943, historical-fiction,2173, historical,1335, adult,1206, adult-fiction,937, contemporary
7838258,      Een keukenmeidenroman,Ineke van Bronswijk,4.46,12328, fiction,10943, historical-fiction,2173, historical,1335, adult,1206, adult-fiction,937, contemporary
