7107665,      The Hunger Games,Suzanne Collins,4.33,30827, young-adult,17317, fiction,16063, dystopia,13545, fantasy,10576, science-fiction,3921, romance
14802335,      The Fault in Our Stars,John Green,4.2,21018, young-adult,10804, romance,10742, fiction,7170, contemporary,2413, realistic-fiction,1256, teen
15704161,      Gone Girl,Gillian Flynn,4.08,12101, fiction,10158, mystery,7138, thriller,2751, crime,2296, mystery-thriller,2252, suspense
12168042,      Divergente,Pilar Ramírez Tello,4.19,20728, young-adult,13902, dystopia,7056, fiction,6557, fantasy,5873, science-fiction,4050, romance
8113493,      Mockingjay,Suzanne Collins,4.04,24667, young-adult,13339, dystopia,12566, fiction,9817, fantasy,7798, science-fiction,2921, romance
24612163,      The Girl on the Train,Paula Hawkins,3.93,10095, fiction,9443, mystery,7291, thriller,2407, crime,2178, mystery-thriller,2026, suspense
5945479,      Zmierzch,Joanna Urban,3.6,19609, young-adult,18442, fantasy,11556, romance,7909, vampires,7830, fiction,5964, paranormal
10783858,      La bambina che salvava i libri,Gian M. Giughese,4.37,19279, historical-fiction,13034, fiction,10424, young-adult,4289, historical,2373, classics,2044, war
10297811,      Catching Fire,Suzanne Collins,4.29,26169, young-adult,13904, dystopia,13377, fiction,10620, fantasy,8322, science-fiction,3242, romance
7067799,      The Help,Kathryn Stockett,4.46,12346, fiction,10944, historical-fiction,2177, historical,1334, adult,1206, adult-fiction,937, contemporary
13690325,      Vijftig tinten grijs,E.L. James,3.66,8964, romance,3826, fiction,3114, erotica,1782, adult,1731, bdsm,1431, contemporary
87784,      To Kill a Mockingbird,Harper Lee,4.28,44719, classics,22639, fiction,6818, historical-fiction,3858, school,2990, literature,2878, young-adult
22022744,      Yo antes de ti,Jojo Moyes,4.26,7534, romance,5969, fiction,3370, contemporary,2014, chick-lit,1321, adult,826, adult-fiction
6578785,      The Girl with the Dragon Tattoo,Reg Keeland,4.14,13220, fiction,10772, mystery,6349, thriller,4033, crime,1841, mystery-thriller,1647, suspense
28542722,      Allegiant,Veronica Roth,3.62,10966, young-adult,8035, dystopia,3596, fiction,2955, science-fiction,2847, fantasy,2103, romance
22820681,      El marciano,Javier Guerrero,4.4,12360, science-fiction,8770, fiction,1461, audiobook,1259, adventure,1028, space,1005, adult
413081,      The Kite Runner,Khaled Hosseini,4.3,15600, fiction,5767, historical-fiction,1901, contemporary,1613, classics,1263, novels,955, historical
1812673,      Alchemik,Andrzej Kowalski,3.88,14844, fiction,6470, classics,3540, fantasy,2921, philosophy,1610, novels,1359, spirituality
25231392,      Ready Player One,Wil Wheaton,4.25,10950, science-fiction,8061, fiction,4020, young-adult,3398, fantasy,3343, dystopia,1168, adventure
15742581,      Insurgente,Pilar Ramírez Tello,4.02,14312, young-adult,10393, dystopia,4504, fiction,3981, fantasy,3763, science-fiction,2668, romance
7072268,      Water for Elephants,David LeDoux,4.09,9874, fiction,5846, historical-fiction,2971, romance,1231, historical,946, adult,803, adult-fiction
25292854,      All the Light We Cannot See,Anthony Doerr,4.33,14447, historical-fiction,10112, fiction,2548, historical,1629, war,1548, world-war-ii,1035, audiobook
15706076,      The Night Circus,Erin Morgenstern,4.03,17802, fantasy,7396, fiction,3905, romance,2619, historical-fiction,1848, magic,1677, young-adult
6467686,      Dawca,Piotr Szymczak,4.13,11249, young-adult,9416, fiction,7862, classics,6841, dystopia,5029, science-fiction,3902, fantasy
31314242,      Harry Potter and the Cursed Child - Parts I & II,J.K. Rowling,3.61,15104, fantasy,4437, fiction,3855, young-adult,3086, plays,1315, magic,676, adventure
17617613,      Eleanor & Park,Rainbow Rowell,4.05,11894, young-adult,7281, romance,4517, contemporary,4065, fiction,1267, realistic-fiction,917, audiobook
7669915,      Wielki Gatsby,Jesmyn Ward,3.92,44354, classics,20498, fiction,3465, school,3249, historical-fiction,3244, literature,2703, romance
18206985,      City of Bones,Cassandra Clare,4.1,18878, fantasy,13863, young-adult,4761, paranormal,4069, romance,3554, urban-fantasy,2901, fiction
1376372,      Pride and Prejudice,Jane Austen,4.26,49689, classics,14966, fiction,12015, romance,3821, historical-fiction,2585, literature,2249, historical
2385175,      Eat  Pray  Love: One Womans Search for Everything Across Italy  India and Indonesia,Elizabeth Gilbert,3.57,5752, non-fiction,3682, memoir,2442, travel,1225, biography,893, chick-lit,740, romance
18077840,      The Maze Runner,James Dashner,4.03,10397, young-adult,6886, dystopia,4285, science-fiction,3254, fiction,2636, fantasy,1243, adventure
22730973,      Looking for Alaska - Mencari Alaska,Barokah Ruziati,4.02,12438, young-adult,4815, fiction,4377, contemporary,2655, romance,1352, realistic-fiction,879, coming-of-age
