book_title,genre,count
The Goldfinch,Fiction; Contemporary; Literary Fiction,254
Bossypants,Nonfiction; Humor; Autobiography; Memoir; Biography; Audiobook,251
The Nightingale,Historical; Historical Fiction; Fiction; Historical; War; World War II,249
Room,Fiction; Contemporary; Adult; Adult Fiction,247
The Giver (The Giver #)1),Childrens; Fiction; Classics; Science Fiction; Dystopia; Young Adult,247
Cinder (The Lunar Chronicles #)1),Young Adult; Fantasy; Science Fiction; Science Fiction; Dystopia; Romance,246
Where'd You Go; Bernadette,Fiction; Humor; Contemporary; Mystery; Womens Fiction; Chick Lit,246
Ready Player One,Science Fiction; Fiction; Young Adult; Science Fiction; Dystopia; Fantasy,245
The Handmaid's Tale,Science Fiction; Dystopia; Science Fiction; Feminism; Fantasy; Classics,243
Twilight (Twilight #)1),Young Adult; Fantasy; Paranormal; Vampires; Fiction; Fantasy,237
Fangirl,Young Adult; Contemporary; Romance; Fiction,235
Pride and Prejudice,Classics; Fiction; Romance,235
We Were Liars,Young Adult; Contemporary; Mystery; Fiction; Romance; Realistic Fiction,235
Wonder (Wonder #)1),Young Adult; Fiction; Realistic Fiction; Contemporary; Childrens; Middle Grade,233
A Game of Thrones (A Song of Ice and Fire #)1),Science Fiction Fantasy; Science Fiction,232
Harry Potter and the Chamber of Secrets,Fantasy; Young Adult; Fiction; Fantasy; Magic,227
The Rosie Project (Don Tillman #)1),Contemporary; Humor; Fiction; Womens Fiction; Chick Lit; Adult,227
Orphan Train,Historical; Historical Fiction; Fiction; Historical; Book Club,226
The Storied Life of A.J. Fikry,Fiction; Contemporary; Writing; Books About Books; Adult; Adult Fiction,226
The Husband's Secret,Mystery; Adult; Audiobook; Adult Fiction; Contemporary,223
Fifty Shades of Grey (Fifty Shades #)1),Romance; Fiction; Adult Fiction; Erotica; Adult; Erotica,222
Unbroken: A World War II Story of Survival; Resilience; and Redemption,Nonfiction; History; Biography; War; War; World War II,221
Wild: From Lost to Found on the Pacific Crest Trail,Nonfiction; Autobiography; Memoir; Travel; Biography,220
The Immortal Life of Henrietta Lacks,Nonfiction; Science; Biography; History; Health; Medicine,219
Harry Potter and the Half-Blood Prince,Fantasy; Young Adult; Fiction,215
The Guernsey Literary and Potato Peel Pie Society,Historical; Historical Fiction; Fiction; Historical; Romance; Book Club,215
Water for Elephants,Fiction; Historical; Historical Fiction; Romance; Book Club; Contemporary,214
Ender's Game (The Ender Quintet #)1),Science Fiction; Fiction; Young Adult; Fantasy,213
The Cuckoo's Calling (Cormoran Strike #)1),Mystery; Fiction; Mystery; Crime; Thriller,209
Harry Potter and the Goblet of Fire,Childrens; Science Fiction Fantasy; Fantasy; Novels,208
Mr. Penumbra's 24-Hour Bookstore (Mr. Penumbra's 24-Hour Bookstore #)1),Fiction; Mystery; Fantasy; Writing; Books About Books; Contemporary,207
Fahrenheit 451,Classics; Science Fiction; Science Fiction; Dystopia; Literature,207
Harry Potter and the Deathly Hallows,Fantasy; Young Adult; Fiction,207
Harry Potter and the Order of the Phoenix,Fantasy; Young Adult; Fiction,206
Harry Potter and the Prisoner of Azkaban,Young Adult; Teen; Young Adult; Childrens; Juvenile; Paranormal,205
The Light Between Oceans,Fiction; Historical; Historical Fiction; Cultural; Australia; Historical,204
City of Bones (The Mortal Instruments #)1),Young Adult; Fantasy; Paranormal; Romance; Fantasy; Urban Fantasy,201
Outlander (Outlander #)1),Historical; Historical Fiction; Fantasy; Science Fiction; Time Travel; Romance,200
If I Stay (If I Stay #)1),Young Adult; Romance; Contemporary; Fiction; Realistic Fiction; Young Adult,200
The Perks of Being a Wallflower,Young Adult; Fiction; Contemporary,199
Scarlet (The Lunar Chronicles #)2),Fantasy; Young Adult; Science Fiction; Young Adult; Teen,199
1984,Classics; Fiction; Science Fiction; Science Fiction; Dystopia,198
New Moon (Twilight #)2),Young Adult; Fantasy; Romance; Paranormal; Vampires; Fiction,197
Jane Eyre,Classics; Fiction; Romance,196
The Da Vinci Code (Robert Langdon #)2),Fiction; Mystery; Thriller; Suspense,194
The Girl Who Played with Fire (Millennium #)2),Fiction; Mystery; Thriller; Mystery; Crime,192
Landline,Fiction; Romance; Contemporary; Adult; Womens Fiction; Chick Lit,192
Yes Please,Nonfiction; Autobiography; Memoir; Humor; Audiobook; Biography,192
The Catcher in the Rye,Classics; Fiction; Young Adult; Literature,191
The Girl Who Kicked the Hornet's Nest (Millennium #)3),Fiction; Mystery; Thriller; Mystery; Crime; Thriller,189
Life After Life (Todd Family #)1),Fiction; Historical; Historical Fiction; Science Fiction; Time Travel; Literary Fiction,189
The Maze Runner (The Maze Runner #)1),Young Adult; Science Fiction; Dystopia; Science Fiction,188
Animal Farm,Fiction; Classics; Science Fiction; Dystopia; Fantasy; Literature,188
The Hobbit (The Hobbit #)1 of 2),Fantasy; Classics; Fiction; Adventure,185
The Time Traveler's Wife,Fiction; Romance; Fantasy; Science Fiction; Time Travel; Science Fiction,183
Dark Places,Mystery; Fiction; Thriller; Mystery; Crime; Thriller,181
Eclipse (Twilight #)3),Young Adult; Fantasy; Romance; Paranormal; Vampires; Fiction,181
Breaking Dawn (Twilight #)4),Fantasy; Young Adult; Romance; Science Fiction Fantasy; Contemporary,181
Go Set a Watchman (To Kill a Mockingbird #)2),Fiction; Historical; Historical Fiction; Classics,181
Looking for Alaska,Young Adult; Fiction; Contemporary; Romance,180
The Invention of Wings,Historical; Historical Fiction; Fiction; Book Club,178
The Graveyard Book,Fantasy; Young Adult; Fiction; Horror; Fantasy; Paranormal,178
Harry Potter and the Cursed Child - Parts One and Two (Harry Potter #)8),Fantasy; Fiction; Young Adult; Plays,177
Everything I Never Told You,Fiction; Audiobook,177
Paper Towns,Young Adult; Contemporary; Fiction,176
Lord of the Flies,Classics; Fiction; Young Adult; Academic; School; Literature,175
The Lightning Thief (Percy Jackson and the Olympians #)1),Fantasy; Young Adult; Fantasy; Mythology; Fiction,174
The Curious Incident of the Dog in the Night-Time,Fiction; Young Adult; Classics,172
The Lovely Bones,Fiction; Mystery; Young Adult; Contemporary; Fantasy,172
American Gods (American Gods),Fantasy; Fiction; Fantasy; Urban Fantasy; Fantasy; Mythology,171
Wuthering Heights,Classics; Fiction; Romance; Literature,168
The Diary of a Young Girl,Nonfiction; History; Biography; Autobiography; Memoir; Classics,167
A Clash of Kings (A Song of Ice and Fire #)2),Fantasy; Fiction; Fantasy; Epic Fantasy; Science Fiction Fantasy,166
Is Everyone Hanging Out Without Me? (And Other Concerns),Nonfiction; Humor; Autobiography; Memoir; Biography,166
Cress (The Lunar Chronicles #)3),Young Adult; Fantasy; Science Fiction; Romance,165
The Glass Castle,Nonfiction; Autobiography; Memoir; Biography,164
The Kite Runner,Fiction; Historical; Historical Fiction; Contemporary,164
Charlotte's Web,Classics; Childrens; Fiction,164
Throne of Glass (Throne of Glass #)1),Young Adult; Romance; Fantasy; Magic,163
The Alchemist,Fiction; Classics; Fantasy; Philosophy; Novels; Spirituality,163
The Raven Boys (The Raven Cycle #)1),Fantasy; Young Adult; Fantasy; Paranormal; Romance,163
A Wrinkle in Time (Time Quintet #)1),Fantasy; Young Adult; Fiction; Classics; Science Fiction; Childrens,162
Sharp Objects,Mystery; Fiction; Thriller; Mystery; Crime; Thriller,161
Life of Pi,Fantasy; Adventure; Classics; Contemporary; Literature; Cultural,160
The Underground Railroad,Historical; Historical Fiction; Fiction; Historical,159
The Girls,Fiction; Contemporary; Cultural; Canada; Adult Fiction,159
Red Queen (Red Queen #)1),Fantasy; Young Adult; Science Fiction; Dystopia; Fiction,159
A Discovery of Witches (All Souls Trilogy #)1),Fantasy; Fiction; Fantasy; Paranormal; Romance; Paranormal,158
The Road,Fiction; Science Fiction; Science Fiction; Dystopia; Apocalyptic; Post Apocalyptic,158
11/22/63,Fiction; Historical; Historical Fiction; Science Fiction; Science Fiction; Time Travel,157
Frankenstein,Horror; Science Fiction; Gothic; Fantasy; Novels,157
After You (Me Before You #)2),Fiction; Womens Fiction; Chick Lit; Contemporary; Adult,156
The Silkworm (Cormoran Strike #)2),Mystery; Fiction; Mystery; Crime; Thriller; Audiobook,155
The 5th Wave (The 5th Wave #)1),Young Adult; Science Fiction; Science Fiction; Dystopia,155
Little Women (Little Women #)1),Classics; Fiction; Historical; Historical Fiction; Young Adult,154
Between the World and Me,Nonfiction; Race; Autobiography; Memoir; Social Movements; Social Justice,152
Thirteen Reasons Why,Young Adult; Realistic Fiction; Young Adult; Teen,152
The Nest,Fiction; Contemporary; Adult Fiction; Audiobook,151
Graceling (Graceling Realm #)1),Fantasy; Young Adult; Romance; Fiction,151
A Storm of Swords (A Song of Ice and Fire #)3),Fiction; Fantasy; Epic Fantasy; Science Fiction Fantasy; Fantasy; High Fantasy,150
Brave New World,Classics; Fiction; Science Fiction; Science Fiction; Dystopia; Literature,150
A Thousand Splendid Suns,Fiction; Historical; Historical Fiction; Contemporary,149
And the Mountains Echoed,Historical; Historical Fiction; Contemporary; Adult Fiction; Adult,149
Never Let Me Go,Fiction; Science Fiction; Science Fiction; Dystopia,149
In the Woods (Dublin Murder Squad #)1),Mystery; Fiction; Mystery; Crime; Thriller; Thriller,149
Still Alice,Contemporary; Fiction; Psychology; Book Club; Adult Fiction,148
Fifty Shades Darker (Fifty Shades #)2),Romance; Fiction,148
Anne of Green Gables (Anne of Green Gables #)1),Classics; Fiction; Young Adult; Childrens; Historical; Historical Fiction,147
The Secret Life of Bees,Fiction; Historical; Historical Fiction; Young Adult; Adult Fiction; Classics,147
Code Name Verity (Code Name Verity #)1),Historical; Historical Fiction; Young Adult; Historical; Fiction; War,147
The Selection (The Selection #)1),Young Adult; Romance; Science Fiction; Dystopia; Fantasy,147
Everything; Everything,Young Adult; Contemporary; Romance; Fiction,147
Inferno (Robert Langdon #)4),Fiction; Mystery; Thriller; Historical; Historical Fiction,146
Rebecca,Classics; Fiction; Mystery; Romance; Gothic; Historical,145
The Art of Racing in the Rain,Fiction; Animals; Animals; Dogs; Contemporary; Adult Fiction,145
Matched (Matched #)1),Young Adult; Science Fiction; Dystopia; Romance,145
Sarah's Key,Historical; Historical Fiction; Fiction; World War II; Holocaust; Historical,145
The Casual Vacancy,Fiction; Audiobook; Book Club,143
The Language of Flowers,Fiction; Parenting; Adoption,143
The Sweetness at the Bottom of the Pie (Flavia de Luce #)1),Mystery; Young Adult; Fiction,142
The Paris Wife,Historical; Historical Fiction; Fiction; Historical; Romance; Book Club,142
Six of Crows (Six of Crows #)1),Fantasy; Young Adult; Fiction,142
Cutting for Stone,Fiction; Historical; Historical Fiction; Cultural; Africa; Book Club,141
Winter (The Lunar Chronicles #)4),Young Adult; Fantasy; Science Fiction; Romance,141
Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,Nonfiction; Autobiography; Memoir; Biography; Politics,141
City of Ashes (The Mortal Instruments #)2),Fantasy; Young Adult; Fantasy; Paranormal; Romance; Fantasy,141
Hotel on the Corner of Bitter and Sweet,Historical; Historical Fiction; Fiction; Historical; Book Club; Romance,140
The Picture of Dorian Gray,Classics; Fiction; Horror; Fantasy,140
The Absolutely True Diary of a Part-Time Indian,Contemporary; Humor; Young Adult; Teen; Young Adult; Academic,140
The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy #)1),Science Fiction; Fiction; Humor; Fantasy; Classics,139
The Elite (The Selection #)2),Young Adult; Romance; Science Fiction; Dystopia; Fantasy,139
Daughter of Smoke & Bone (Daughter of Smoke & Bone #)1),Fantasy; Young Adult; Romance; Fantasy; Paranormal; Paranormal,138
Of Mice and Men,Classics; Fiction; Academic; School; Literature; Historical,138
The Secret Garden,Classics; Fiction; Childrens; Young Adult,138
A Feast for Crows (A Song of Ice and Fire #)4),Fantasy; Fiction; Fantasy; Epic Fantasy; Science Fiction Fantasy,138
Romeo and Juliet,Classics; Plays; Fiction; Romance; Academic; School,137
Fifty Shades Freed (Fifty Shades #)3),Adult Fiction; Erotica; Fiction; Erotica; Bdsm; Adult,136
What Alice Forgot,Fiction; Womens Fiction; Chick Lit; Contemporary; Audiobook,135
Americanah,Fiction; Cultural; Africa; Contemporary; Literary Fiction; Feminism,135
Uprooted,Fantasy; Young Adult; Fiction; Fantasy; Magic; Romance,135
A Court of Thorns and Roses (A Court of Thorns and Roses #)1),Fantasy; Young Adult; Romance; New Adult,135
Dark Matter,Science Fiction; Fiction; Thriller; Mystery; Audiobook; Adult,135
The Adventures of Huckleberry Finn (The Adventures of Tom and Huck #)2),Classics; Fiction; Historical; Historical Fiction; Literature; Young Adult,134
The Little Prince,Childrens; Classics; Cultural; France; Young Adult,134
A Christmas Carol,Classics; Fiction; Holiday; Christmas; Fantasy,133
Dracula,Classics; Horror; Fiction; Fantasy; Paranormal; Vampires,133
Truly Madly Guilty,Fiction; Womens Fiction; Chick Lit; Contemporary; Audiobook,132
When Breath Becomes Air,Nonfiction; Autobiography; Memoir; Biography; Health; Medicine,131
Coraline,Sequential Art; Graphic Novels; Fantasy; Horror; Sequential Art; Comics,131
The Sea of Monsters (Percy Jackson and the Olympians #)2),Fantasy; Young Adult; Fantasy; Mythology; Fiction,131
A Dance with Dragons (A Song of Ice and Fire #)5),Fantasy; Fiction; Fantasy; Epic Fantasy; Science Fiction Fantasy; Fantasy,131
Eat; Pray; Love,Nonfiction; Autobiography; Memoir; Travel,131
The Hate U Give,Young Adult; Contemporary; Fiction; Realistic Fiction,131
And Then There Were None,Mystery; Classics; Fiction; Mystery; Crime; Thriller,130
Career of Evil (Cormoran Strike #)3),Mystery; Fiction; Mystery; Crime; Thriller; Audiobook,130
Delirium (Delirium #)1),Young Adult; Science Fiction; Dystopia; Romance,129
The Poisonwood Bible,Historical; Historical Fiction; Fiction; Classics; Literature,129
The Woman in Cabin 10,Mystery; Fiction; Thriller; Suspense; Thriller; Mystery Thriller,129
City of Glass (The Mortal Instruments #)3),Fantasy; Young Adult; Fantasy; Paranormal; Fantasy; Urban Fantasy,129
Legend (Legend #)1),Young Adult; Romance; Fantasy; Science Fiction; Fiction; Adventure,128
Quiet: The Power of Introverts in a World That Can't Stop Talking,Nonfiction; Psychology; Self Help,128
Beautiful Creatures (Beautiful Creatures #)1),Young Adult; Fantasy; Fantasy; Paranormal; Romance,128
The One (The Selection #)3),Young Adult; Romance; Science Fiction; Dystopia; Fantasy,128
All the Bright Places,Young Adult; Contemporary; Fiction; Mental Health; Mental Illness; Realistic Fiction,128
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Nonfiction; History; Sports and Games; Sports; Biography; Historical,128
Memoirs of a Geisha,Fiction; Historical; Historical Fiction; Romance; Historical; Cultural,127
Little Bee,Historical; Historical Fiction; Fiction; Adult Fiction; Contemporary; Adult,127
The Stranger,Mystery; Thriller; Fiction; Suspense; Thriller; Mystery Thriller,127
Red Rising (Red Rising Saga #)1),Science Fiction; Young Adult; Fantasy; Science Fiction; Dystopia; Fiction,127
Shadow and Bone (The Grishaverse #)1),Fantasy; Young Adult; Young Adult; Young Adult Fantasy,126
Saga; Vol. 1 (Saga #)1),Sequential Art; Graphic Novels; Sequential Art; Comics; Fantasy; Science Fiction,125
My Sister's Keeper,Fiction; Womens Fiction; Chick Lit; Contemporary,125
The Girl with All the Gifts (The Hungry Plague #)1),Horror; Fiction; Science Fiction; Horror; Zombies; Science Fiction,125
Great Expectations,Classics; Fiction; Literature; Historical; Historical Fiction,124
Dead Until Dark (Sookie Stackhouse #)1),Fantasy; Paranormal; Vampires; Fantasy; Paranormal; Fantasy,124
The Scorch Trials (The Maze Runner #)2),Young Adult; Science Fiction; Dystopia; Science Fiction; Fiction,124
Olive Kitteridge,Short Stories; Book Club; Fiction; Contemporary; Literary Fiction,124
Slaughterhouse-Five,Fiction; Science Fiction; Classics; War; Literature; Historical,124
State of Wonder,Fiction; Book Club; Contemporary; Adult Fiction; Literary Fiction,123
Beautiful Ruins,Fiction; Historical; Historical Fiction; Cultural; Italy; Romance,123
The Shadow of the Wind,Fiction; Historical; Historical Fiction; Mystery; Fantasy; Writing,122
A Tale of Two Cities,Fiction; Classics; Historical; Historical Fiction; Literature; Historical,122
The Snow Child,Fantasy; Historical; Fantasy; Fairy Tales; Fiction; Book Club,121
A Visit from the Goon Squad,Fiction; Contemporary; Music; Short Stories,121
The Magicians (The Magicians; #)1),Fantasy; Fiction; Fantasy; Magic; Fantasy; Urban Fantasy,120
The Unlikely Pilgrimage of Harold Fry (Harold Fry #)1),Contemporary; Adult Fiction,120
The Thirteenth Tale,Fiction; Mystery; Historical; Historical Fiction; Gothic; Writing,120
Defending Jacob,Fiction; Mystery; Thriller; Mystery; Crime; Suspense,120
The Lion; the Witch; and the Wardrobe (The Chronicles of Narnia (Publication Order) #)1),Fantasy; Classics; Fiction; Young Adult; Childrens,120
Where She Went (If I Stay #)2),Young Adult; Romance; Contemporary; Fiction; Realistic Fiction,120
Attachments,Romance; Contemporary; Fiction; Womens Fiction; Chick Lit; Adult,119
Speak,Young Adult; Fiction; Contemporary; Realistic Fiction,119
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Nonfiction; Self Help; Audiobook,119
The Titan's Curse (Percy Jackson and the Olympians #)3),Fantasy; Young Adult; Fantasy; Mythology,119
Between Shades of Gray,Young Adult; Historical; Historical Fiction; Historical; War; War,119
The Age of Miracles,Fiction; Young Adult; Science Fiction; Science Fiction; Dystopia,117
A Monster Calls,Fantasy; Young Adult; Fiction; Horror,117
The Fellowship of the Ring (The Lord of the Rings #)1),Classics; Fiction; Adventure; Science Fiction Fantasy,117
World War Z: An Oral History of the Zombie War,Science Fiction; Apocalyptic; Abandoned; Speculative Fiction; Science Fiction Fantasy; Adventure,116
In the Garden of Beasts: Love; Terror; and an American Family in Hitler's Berlin,History; Nonfiction; War; World War II,116
Anna Karenina,Classics; Fiction; Cultural; Russia; Romance,116
Anna and the French Kiss (Anna and the French Kiss #)1),Young Adult; Romance; Contemporary; Womens Fiction; Chick Lit,116
The Scarlet Letter,Classics; Fiction; Historical; Historical Fiction; Academic; School,115
The Storyteller,Childrens; Picture Books; Childrens; Cultural; Fiction; Fantasy,115
Hyperbole and a Half: Unfortunate Situations; Flawed Coping Mechanisms; Mayhem; and Other Things Tha,Humor; Nonfiction; Sequential Art; Graphic Novels; Autobiography; Memoir,115
Crown of Midnight (Throne of Glass #)2),Fantasy; Young Adult; Romance,115
Gone with the Wind,Classics; Historical; Historical Fiction; Fiction; Romance; Historical,115
The Old Man and the Sea,Classics; Fiction; Literature; Novels,115
A Spool of Blue Thread,Fiction; Contemporary; Literary Fiction; Audiobook,115
My Name Is Lucy Barton (Amgash #)1),Fiction; Literary Fiction; Audiobook; Contemporary,114
Middlesex,Fiction; Historical; Historical Fiction; Contemporary,114
The Outsiders,Fiction; Young Adult; Classics; Academic; School; Realistic Fiction,114
Dead Wake: The Last Crossing of the Lusitania,Nonfiction; History; Audiobook,114
The Host (The Host #)1),Science Fiction; Fiction; Science Fiction; Dystopia; Young Adult; Fantasy,113
Uglies (Uglies #)1),Young Adult; Science Fiction; Dystopia; Science Fiction,113
Salt to the Sea,Historical; Historical Fiction; Young Adult; Historical; Fiction; War,113
Sense and Sensibility,Fiction; Historical; Historical Fiction; Literature; Classics; Classic Literature,113
Fates and Furies,Fiction; Contemporary; Literary Fiction; Abandoned,112
One Plus One,Fiction; Romance; Womens Fiction; Chick Lit; Contemporary; Adult,112
Mr. Mercedes (Bill Hodges Trilogy #)1),Fiction; Thriller; Mystery; Horror; Mystery; Crime,112
Persuasion,Classics; Fiction; Romance,112
Neverwhere (London Below; The World of Neverwhere),Fantasy; Fiction; Fantasy; Urban Fantasy; Science Fiction Fantasy,112
Night (The Night Trilogy #)1),Nonfiction; Classics; History; Autobiography; Memoir; World War II,111
Tell the Wolves I'm Home,Fiction; Young Adult; Historical; Historical Fiction; Contemporary; Young Adult,111
A Tree Grows in Brooklyn,Classics; Historical; Historical Fiction; Fiction; Young Adult,111
Angels & Demons (Robert Langdon #)1),Fiction; Mystery; Thriller; Suspense,111
The Dream Thieves (The Raven Cycle #)2),Fantasy; Young Adult; Fantasy; Paranormal; Fantasy; Magic,111
My Brilliant Friend (L'amica geniale #)1),Fiction; Historical; Historical Fiction; Cultural; Italy; Abandoned,110
Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years #)1),Adult; Abandoned; Science Fiction Fantasy; Adult Fiction,110
The Name of the Wind (The Kingkiller Chronicle #)1),Fantasy; Fiction; Fantasy; Epic Fantasy; Fantasy; High Fantasy,110
Before the Fall,Fiction; Mystery; Thriller; Thriller; Mystery Thriller; Audiobook,110
Before I Go to Sleep,Fiction; Mystery; Thriller; Suspense,110
Shiver (The Wolves of Mercy Falls #)1),Young Adult; Romance; Fiction; Fantasy; Supernatural; Fantasy,110
An Ember in the Ashes (An Ember in the Ashes #)1),Fantasy; Young Adult; Romance; Science Fiction; Dystopia,109
One Day,Fiction; Romance; Contemporary; Womens Fiction; Chick Lit,109
Prodigy (Legend #)2),Young Adult; Science Fiction; Dystopia; Romance,109
The Bell Jar,Classics; Fiction; Feminism; Literary Fiction; Contemporary,109
The Dinner,Fiction; Mystery; Thriller,109
The Devil in the White City: Murder; Magic; and Madness at the Fair That Changed America,Nonfiction; History; Crime; True Crime; Mystery; Crime,109
Lolita,Fiction; Literature; Classics; Novels,109
The Grapes of Wrath,Fiction; Historical; Historical Fiction; Classics; Literature; Novels,109
The Golden Compass (His Dark Materials #)1),Fantasy; Young Adult; Fiction,108
Atonement,Historical; Historical Fiction; Romance; Classics; Fiction; Historical,108
The Sense of an Ending,Fiction; Literary Fiction; Contemporary; Literature; European Literature; British Literature,108
The Lost Symbol (Robert Langdon #)3),Fiction; Mystery; Thriller; Suspense,108
The Death Cure (The Maze Runner #)3),Young Adult; Science Fiction; Dystopia; Science Fiction,107
Dragonfly in Amber (Outlander #)2),Historical; Historical Fiction; Romance; Fantasy; Fiction; Science Fiction,107
I'll Give You the Sun,Young Adult; Contemporary; Glbt; Romance; Fiction,107
The Shining (The Shining #)1),Fiction; Fantasy; Mystery; Fantasy; Supernatural; Suspense,107
The Good Girl,Mystery; Fiction; Thriller; Suspense; Thriller; Mystery Thriller,106
Where the Sidewalk Ends,Poetry; Childrens; Classics; Fiction,106
Still Life (Chief Inspector Armand Gamache #)1),Mystery; Fiction; Mystery; Crime; Cultural; Canada,106
Bel Canto,Fiction; Contemporary; Book Club; Literary Fiction,106
Let's Pretend This Never Happened: A Mostly True Memoir,Nonfiction; Humor; Autobiography; Memoir; Biography,106
Charlie and the Chocolate Factory (Charlie Bucket #)1),Childrens; Fantasy; Fiction; Classics,106
